Sample Date,Address,1st Draw,2/3 Min,5 Min,Max,PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Construction Quality,Renovation,Site Desireability,Garage 1 Size,Garage 1 Material,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Prior Tax Year Market Value Estimate (Land),Prior Tax Year Market Value Estimate (Building),Longitude,Latitude,Total Building Square Feet,Multi Property Indicator,Age,Use,Multi-Family Indicator,"Condition, Desirability and Utility",Near Major Road,Location Factor,Garage indicator,Neigborhood Code (mapping),Town and Neighborhood,property_city,property_zip,longitude,latitude,township,township_name,nbhd,tract_geoid,tract_pop,tract_white_perc,commissioner_dist,reps_dist,senate_dist,ward,school_elem_district
8/20/2019,86XX S MICHIGAN AVE,2.7,5.1,1.9,5.1,20343200541003.0,299.0,111.0,8379.0,70.0,,,,,,,,,,,,,,3.0,,,,,,12350.0,75090.0,-87.6206948560002,41.7366808335094,,0.0,57.0,1.0,,,1.0,0.293074689703635,,111.0,70111.0,CHICAGO,60619-5659,-87.62069485600017,41.73668083351188,70.0,Hyde Park,111.0,17031440300.0,4577.0,0.006772995411842,4th,34.0,17.0,6.0,NEIL
2/7/2019,75XX S CALUMET AVE,4.5,9.2,6.7,9.2,20273050070000.0,211.0,111.0,5840.0,70.0,2.0,2.0,2.0,2.0,12.0,6.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,0.0,2496.0,2.0,2.0,0.0,46720.0,104580.0,-87.6162130436202,41.7576639984823,,0.0,102.0,2.0,211.0,,0.0,0.388321505737757,1.0,111.0,70111.0,CHICAGO,60619-2226,-87.61621304362016,41.75766399848486,70.0,Hyde Park,111.0,17031691300.0,2707.0,0.007388252678242,3rd,34.0,17.0,6.0,RUGGLES
9/4/2019,12XX N HERMITAGE AVE,4.6,33,2.9,33.0,17062310240000.0,205.0,60.0,525.0,77.0,2.0,0.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,,2.0,0.0,0.0,3.0,0.0,1625.0,2.0,2.0,0.0,23880.0,406440.0,-87.6709829584915,41.9054629124379,,0.0,134.0,1.0,,,0.0,2.31363451997021,0.0,60.0,7760.0,CHICAGO,60622-3239,-87.67098295849144,41.90546291244048,77.0,West Chicago,60.0,17031241400.0,5230.0,0.749139579349904,12th,4.0,2.0,1.0,PRITZKER
5/2/2019,4XX W 100TH PL,1.3,1.6,2.1,2.1,25093150010000.0,205.0,321.0,3802.0,72.0,2.0,0.0,2.0,1.0,5.0,2.0,3.0,1.0,2.0,,2.0,3.0,1.0,3.0,0.0,912.0,2.0,2.0,0.0,20910.0,77030.0,-87.6354908720774,41.711318265664,,0.0,73.0,1.0,,,0.0,0.302594649624655,1.0,321.0,72321.0,CHICAGO,60628-1934,-87.63549087207738,41.71131826566644,72.0,Lake,321.0,17031730500.0,4359.0,0.002294104152329,4th,27.0,14.0,9.0,FERNWOOD
8/17/2022,99XX S OGLESBY AVE ,4.4,6.2,6.9,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2019,99XX S LONGWOOD DR,12.0,11,13.0,13.0,25074020060000.0,206.0,271.0,6550.0,72.0,2.0,0.0,1.0,1.0,7.0,4.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,0.0,2788.0,2.0,2.0,0.0,65500.0,392450.0,-87.6685210979117,41.7128840514808,,0.0,120.0,1.0,,,0.0,0.555602404524887,1.0,271.0,72271.0,CHICAGO,60643-1803,-87.6685210979117,41.71288405148325,72.0,Lake,271.0,17031720200.0,4047.0,0.390412651346677,11th,35.0,18.0,19.0,SUTHERLAND
9/27/2019,97XX S CALUMET AVE,6.2,6.5,4.9,6.5,25101170280000.0,202.0,111.0,3750.0,70.0,1.0,0.0,2.0,6.0,5.0,2.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,0.0,993.0,2.0,2.0,0.0,30000.0,86640.0,-87.615593967586,41.7175159108672,,0.0,58.0,1.0,,,0.0,0.175206188655498,1.0,111.0,70111.0,CHICAGO,60628-1430,-87.61559396758595,41.71751591086966,70.0,Hyde Park,111.0,17031490500.0,2008.0,0.040338645418327,4th,34.0,17.0,9.0,BENNETT
8/26/2022,52XX N MELVINA AVE,,,,,13081260210000.0,203.0,430.0,4560.0,71.0,5.0,0.0,1.0,1.0,6.0,3.0,1.0,3.0,2.0,,2.0,3.0,1.0,3.0,0.0,1483.0,2.0,2.0,0.0,57000.0,265330.0,-87.7840091201632,41.9769189834964,,0.0,99.0,1.0,,,0.0,1.22162210790886,1.0,430.0,71430.0,CHICAGO,60630-1037,-87.78400912016318,41.97691898349906,71.0,Jefferson,430.0,17031110300.0,5720.0,0.643881118881119,12th,19.0,10.0,45.0,HITCH
9/17/2019,17XX W 104TH ST,1.1,1.7,1.3,1.7,25182040330000.0,201.0,274.0,4119.0,72.0,,,,,,,,,,,,,,3.0,,,,,,30890.0,2060.0,-87.6658129299957,41.704603274084,,0.0,10.0,1.0,,,0.0,0.529851380339329,,274.0,72274.0,CHICAGO,60643-2803,-87.66581292999564,41.70460327408646,72.0,Lake,274.0,17031720700.0,3066.0,0.363339856490541,11th,35.0,18.0,19.0,BARNARD
7/18/2023,53XX N VIRGINIA AVE,,,,,13121120120000.0,203.0,42.0,3750.0,71.0,1.0,0.0,2.0,1.0,6.0,3.0,4.0,3.0,2.0,,2.0,0.0,0.0,3.0,0.0,1364.0,2.0,2.0,0.0,71250.0,283890.0,-87.7039894409831,41.9783857603422,,0.0,65.0,1.0,,,0.0,1.3912811853869,0.0,42.0,7142.0,CHICAGO,60625-4008,-87.70398944098308,41.97838576034487,71.0,Jefferson,42.0,17031040300.0,2925.0,0.532307692307692,12th,13.0,7.0,40.0,JAMIESON
6/11/2021,21XX N DAMEN AVE,0.5,0.5,0.5,0.5,14311270410000.0,212.0,170.0,2400.0,77.0,2.0,2.0,2.0,2.0,10.0,5.0,1.0,3.0,2.0,,2.0,4.0,2.0,3.0,0.0,3312.0,2.0,2.0,1.0,109200.0,481900.0,-87.6780259239568,41.9205507092282,,0.0,125.0,2.0,212.0,,0.0,2.44093114061403,1.0,170.0,77170.0,CHICAGO,60647-4563,-87.67802592395671,41.92055070923079,77.0,West Chicago,170.0,17031832200.0,3289.0,0.750684098510186,12th,10.0,5.0,32.0,PULASKI
11/26/2019,40XX S CAMPBELL AVE,,,,,19012140470000.0,202.0,40.0,3100.0,72.0,1.0,0.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,,2.0,3.0,1.0,1.0,0.0,930.0,2.0,2.0,0.0,31000.0,107550.0,-87.6868643284846,41.8195354216784,,0.0,130.0,1.0,,,0.0,0.467475890920741,1.0,40.0,7240.0,CHICAGO,60632-1119,-87.68686432848455,41.819535421680925,72.0,Lake,40.0,17031580700.0,6238.0,0.054023725553062,7th,2.0,1.0,12.0,SHIELDS
