Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw
4/28/2018,59XX N KOSTNER AVE**,0.50,24.00,38.50,36.70,35.60,34.80,33.30,29.90,27.60,19.70
3/23/2022,101XX S LASALLE ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/26/2016,103XX S ST LOUIS AVE,0.50,0.50,2.34,2.35,5.64,12.30,13.40,12.70,12.00,10.30
8/11/2023,107XX S COTTAGE GROVE AVE,0.50,1.58,1.79,3.49,1.27,2.63,2.96,1.24,1.07,1.17
12/6/2021,108XX S EGGLESTON AVE,0.50,0.50,1.05,0.50,1.85,2.44,1.75,3.60,5.13,2.86
8/29/2023,10XX N OAKLEY BLVD,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
9/1/2017,10XX W 18TH ST,0.50,0.50,1.11,1.22,0.50,0.50,1.06,1.04,1.05,1.09
3/26/2016,11XX W LUNT AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
2/7/2024,13XX W WINONA ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
10/28/2016,14XX W MELROSE ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
6/4/2021,16XX N KEELER AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
7/26/2021,18XX W ESTES AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
2/28/2017,20XX W LUNT AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
3/19/2019,23XX S MARSHALL BLVD,0.50,0.50,1.66,1.77,1.14,0.50,0.50,0.50,0.50,0.50
10/6/2021,24XX W HOMER ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
6/29/2017,26XX N SEMINARY AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
11/22/2022,27XX W AUGUSTA BLVD,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
4/28/2017,28XX N RIDGEWAY AVE**,0.50,2.36,1.97,0.50,0.50,0.50,0.50,0.50,0.50,0.50
5/31/2017,34XX N HAMILTON AVE,0.50,13.60,1.30,3.40,2.66,2.75,2.26,0.50,0.50,0.50
10/7/2021,34XX W MONROE ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
5/31/2019,38XX N ALBANY ,0.50,0.50,0.50,1.50,1.29,1.77,2.32,2.37,2.62,2.53
3/25/2019,39XX N OAKLEY ,0.50,1.06,1.00,0.50,0.50,0.50,1.16,1.14,1.13,1.23
1/7/2019,40XX N MAPLEWOOD ,0.50,1.23,1.25,1.44,1.52,1.70,1.47,1.39,1.24,1.05
5/18/2021,41XX S BERKELEY AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/18/2016,42XX N AVERS AVE,0.50,4.03,10.70,10.90,5.15,8.08,7.99,7.96,7.99,3.61
10/3/2019,43XX S BERKELEY AVE,0.50,1.67,0.50,0.50,0.50,0.50,0.50,1.21,0.50,0.50
3/1/2017,45XX N MALDEN ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/31/2021,45XX N VIRGINIA AVE,0.50,1.71,2.03,2.27,2.77,3.04,3.32,3.38,3.41,3.88
4/9/2024,47XX N DAMEN AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
5/3/2024,48XX S ELLIS AVE,0.50,0.50,0.50,0.50,1.13,1.21,1.48,1.52,1.82,1.69
10/18/2021,4XX W BRIAR PL,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/27/2021,50XX W DAKIN ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/2/2021,52XX N MAGNOLIA AVE,0.50,0.50,1.30,1.50,1.20,1.20,1.20,1.30,1.20,1.30
8/30/2021,52XX N MILWAUKEE AVE,0.50,0.50,0.50,0.50,1.22,0.50,0.50,0.50,0.50,0.50
11/8/2023,52XX N SAWYER AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
2/2/2017,52XX W CUYLER AVE,0.50,0.50,1.10,1.08,0.50,0.50,0.50,0.50,0.50,0.50
5/29/2019,53XX S CORNELL ,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
7/21/2021,55XX N CHRISTIANA AV,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.70
5/19/2021,55XX S UNION AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
6/3/2021,5XX E 88TH ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
10/15/2016,5XX S CLINTON ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
5/19/2017,5XX W 128TH ST,0.50,0.50,0.50,0.50,0.50,1.44,1.61,1.62,1.79,1.84
5/6/2022,61XX S KEDVALE AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.25
8/4/2023,62XX N WAYNE AVE,0.50,1.28,2.63,4.05,8.02,17.10,21.50,14.80,8.98,7.23
3/28/2022,64XX S LANGLEY AVE,0.50,0.50,0.50,0.50,0.50,1.16,1.36,1.57,1.43,0.50
7/3/2023,64XX S MORGAN ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
5/19/2021,65XX S CLAREMONT AVE,0.50,0.50,0.50,2.50,7.24,9.58,7.99,7.71,7.36,7.23
3/26/2019,68XX S CLAREMONT ,0.50,0.50,0.50,1.08,1.17,1.04,0.50,0.50,0.50,0.50
4/2/2019,69XX N GREENVIEW ,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
4/20/2023,72XX S ARTESIAN AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
9/28/2016,74XX S CLAREMONT AVE,0.50,0.50,2.85,5.71,9.02,10.60,10.80,10.50,9.74,9.90
5/20/2021,82XX S PEORIA ST,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
3/25/2016,92XX S DAUPHIN AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
12/12/2023,9XX W BUENA AVE,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
3/6/2020,37XX S WALLACE ST,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50
11/1/2023,14XX W 112TH PL,1626.00,166.00,263.00,201.00,151.00,148.00,156.00,202.00,133.00,144.00
8/17/2019,36XX S HOYNE ,355.00,41.00,37.90,6.35,3.36,1.49,1.57,1.26,1.58,1.31
2/28/2022,24XX W AUGUSTA AVE,284.00,463.00,283.00,228.00,129.00,83.20,93.30,78.80,71.80,68.50
8/2/2023,17XX W ERIE ST,241.00,309.00,259.00,234.00,194.00,164.00,143.00,130.00,120.00,100.00
12/13/2016,93XX S PHILLIPS AVE**,232.00,24.00,37.30,14.10,55.30,43.70,32.50,30.00,28.80,23.10
7/28/2018,45XX N MERRIMAC AVE,227.00,61.20,42.60,45.90,36.60,28.50,25.30,22.00,20.40,18.50
6/7/2022,68XX N ORIOLE AVE,213.00,8.36,5.59,5.20,7.53,10.20,22.10,30.70,18.00,13.10
10/5/2021,29XX N SACRAMENTO AVE**,175.00,121.00,111.00,65.90,52.20,42.20,39.40,38.20,34.60,43.50
2/17/2022,35XX W MELROSE ST,170.00,74.00,42.00,14.00,12.00,14.00,17.00,65.00,12.00,6.70
1/24/2022,87XX S WOOD ST,150.00,29.00,16.00,28.00,14.00,12.00,13.00,19.00,18.00,17.00
8/10/2016,14XX W SUPERIOR ST,148.00,116.00,38.10,19.90,17.10,15.90,15.90,14.90,14.40,14.30
6/7/2022,114XX S WALLACE ST,140.00,52.00,50.00,49.00,44.00,34.00,32.00,140.00,36.00,7.30
7/6/2023,35XX S WOLCOTT AVE,138.00,61.70,15.20,13.50,12.30,12.90,14.30,13.60,11.50,9.79
5/14/2019,126XX S HARVARD ,131.00,41.80,14.60,9.66,10.70,8.39,7.17,4.77,6.19,4.37
5/27/2021,84XX S MANISTEE AVE,130.00,32.00,18.00,19.00,19.00,19.00,19.00,19.00,18.00,20.00
3/30/2022,38XX N MOZART AVE,123.00,27.20,14.20,9.87,12.00,12.60,18.20,26.20,24.60,26.90
3/19/2022,1XX N LEAMINGTON AVE,120.00,220.00,74.00,53.00,42.00,38.00,39.00,35.00,30.00,25.00
9/28/2019,18XX S FAIRFIELD AVE**,118.00,15.00,12.10,14.90,11.00,11.00,10.30,10.00,10.90,11.60
8/12/2019,51XX W DEVON ,111.00,18.40,51.40,87.50,79.50,67.30,58.80,55.20,54.80,49.00
12/7/2022,9XX W DIVERSEY PKWY,110.00,8.40,4.80,4.10,4.00,3.30,3.10,3.00,2.70,2.60
1/9/2020,51XX S LUNA AVE,106.00,28.30,26.00,29.70,30.20,32.40,31.80,31.70,27.60,29.90
7/28/2022,76XX W PALATINE AVE**,100.00,13.00,9.70,8.80,8.70,9.30,9.40,10.00,11.00,13.00
11/15/2019,61XX N NEWBURG ,83.40,14.50,4.25,3.60,3.06,3.09,2.92,2.61,2.39,2.36
3/18/2020,113XX S ST LAWRENCE AVE,69.30,24.30,10.50,6.80,6.26,8.94,8.97,8.43,7.74,7.26
9/12/2023,112XX S NORMAL AVE,62.30,8.64,5.31,3.39,3.10,8.59,77.10,45.20,10.10,4.19
12/6/2021,75XX S PAULINA ST,59.40,53.40,33.10,26.60,31.80,33.30,32.50,30.10,27.90,24.30
4/30/2016,80XX S CONSTANCE AVE,58.00,19.10,14.80,21.20,14.10,14.00,16.80,17.60,11.70,22.80
6/29/2019,114XX S ST LAWRENCE ,57.20,17.70,29.90,34.20,22.10,18.00,16.20,8.86,7.25,6.39
12/7/2018,8XX W 19TH ST,56.40,8.63,6.97,6.28,5.78,4.99,4.52,4.80,4.94,4.85
11/7/2023,98XX S INDIANA AVE,54.20,4.55,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
1/25/2022,63XX N KOLMAR AVE**,52.00,53.00,41.00,34.00,27.00,27.00,18.00,25.00,18.00,15.00
8/8/2022,127XX S SANGAMON ST,50.00,170.00,170.00,150.00,140.00,140.00,140.00,140.00,120.00,110.00
1/30/2020,79XX S MAPLEWOOD AVE,48.20,19.70,24.60,35.50,46.50,39.70,23.20,18.10,16.70,16.30
4/24/2023,122XX S ABERDEEN ST,46.00,34.90,14.20,13.90,15.90,21.10,20.00,19.00,19.80,18.50
8/25/2021,17XX N TROY ST,45.60,4.63,6.25,4.07,4.15,3.80,2.90,3.00,5.85,5.90
2/6/2019,22XX W SHAKESPEARE ,45.60,26.50,5.46,5.35,4.54,3.85,3.68,3.38,3.30,3.08
9/18/2023,97XX S LASALLE ST**,45.60,37.30,18.90,1.00,9.01,5.46,4.83,5.17,8.98,2.82
5/26/2021,116XX S PARNELL AVE,45.00,30.00,18.00,14.00,12.00,7.80,9.10,,,
2/6/2023,10XX N CENTRAL AVE,44.10,76.80,25.00,15.10,14.40,28.20,26.70,22.90,26.20,35.10
4/17/2018,95XX S UNIVERSITY AVE**,44.00,40.10,34.40,38.70,31.40,30.80,27.90,24.60,22.00,26.80
2/28/2019,28XX W DICKENS ,42.80,20.40,18.60,16.60,12.90,11.50,9.41,8.96,8.66,9.00
8/14/2023,44XX N RICHMOND ST**,40.40,116.00,45.00,38.80,43.70,44.80,46.60,44.90,38.10,37.10
1/19/2024,101XX S INDIANA AVE,40.00,21.10,12.60,9.17,7.66,6.84,5.27,5.20,5.03,3.85
2/25/2017,11XX E 48TH ST**,38.10,55.50,25.20,30.00,27.80,29.50,33.40,30.50,25.70,25.30
7/26/2016,95XX S UNIVERSITY AVE**,38.10,58.50,56.20,46.20,46.30,35.50,30.30,26.90,24.90,23.90
4/13/2023,104XX S CORLISS AVE,38.00,82.10,102.00,74.30,43.90,37.10,34.20,27.20,27.60,33.10
6/10/2021,28XX W DIVISION ST**,38.00,48.00,53.00,52.00,51.00,51.00,47.00,46.00,51.00,49.00
8/4/2021,28XX W DIVISION ST**,37.00,52.00,58.00,55.00,57.00,55.00,53.00,53.00,55.00,55.00
11/29/2022,83XX S BENNETT AVE,36.70,23.30,24.10,28.50,33.40,31.90,29.00,26.90,26.10,23.60
8/31/2023,15XX S KOSTNER AVE,36.40,10.40,12.00,17.60,20.80,21.50,18.90,16.90,15.00,13.80
6/18/2021,61XX N DRAKE AVE**,35.50,31.30,24.40,22.40,18.70,18.00,17.90,19.50,17.90,14.70
7/18/2016,3XX E 89TH PL**,35.40,27.80,20.80,28.40,20.60,17.80,20.70,24.60,20.80,19.90
7/1/2016,15XX N CLAREMONT AVE,34.10,16.20,18.50,15.60,15.90,13.90,13.60,14.20,13.50,13.80
12/27/2018,16XX W SUMMERDALE AVE,33.90,41.30,34.90,34.90,44.40,71.40,69.10,68.10,64.30,56.30
11/29/2021,29XX N SACRAMENTO AVE**,33.80,28.30,16.80,26.30,24.60,18.50,16.90,17.60,18.30,19.50
12/30/2019,27XX N RACINE AVE,33.60,4.60,6.96,24.20,24.00,18.30,13.80,12.10,10.20,8.07
10/8/2021,71XX S HERMITAGE AVE,33.20,25.00,16.40,10.80,9.66,12.70,11.40,11.00,,11.80
5/17/2021,66XX S LAFLIN ST,33.00,5.30,4.60,5.10,6.70,3.90,2.80,2.60,2.60,2.30
10/11/2022,38XX N BERNARD ST,32.80,31.40,9.32,7.17,6.90,6.79,6.74,6.66,6.60,6.56
1/29/2024,81XX S STEWART AVE,32.70,16.10,15.20,15.00,14.80,13.30,10.90,8.27,7.49,7.54
1/10/2024,44XX N RICHMOND ST**,32.60,72.50,34.80,32.40,36.60,36.90,35.90,32.20,27.50,26.50
9/18/2018,12XX W NORWOOD ST**,32.00,49.20,72.90,71.80,71.10,68.00,65.00,64.30,62.80,57.50
11/21/2019,65XX N ROCKWELL ,32.00,24.80,19.10,14.30,11.50,13.30,14.80,12.60,11.40,10.90
6/23/2021,113XX S ST LAWRENCE AVE,31.70,12.90,49.40,27.00,21.40,16.90,18.70,13.10,17.00,22.70
10/13/2016,16XX N CLEVELAND AVE,31.10,11.90,9.93,8.82,9.16,8.41,8.15,8.02,7.83,7.82
7/30/2019,76XX S MARYLAND ,31.00,37.10,54.40,54.60,51.20,51.20,50.30,40.80,37.60,32.60
5/21/2019,39XX W 84TH PL,30.20,21.10,22.20,11.20,13.80,12.40,15.90,16.10,15.40,15.50
5/18/2017,3XX W WELLINGTON AVE,30.20,2.11,0.50,0.50,0.50,6.84,2.44,0.50,0.50,0.50
3/9/2023,34XX W PARKER AVE,30.10,25.50,22.70,20.20,18.00,14.80,13.50,12.20,12.50,14.40
12/20/2023,48XX S WOODLAWN AVE,30.10,37.40,34.50,33.10,38.30,44.00,45.20,45.10,45.00,47.80
6/16/2022,91XX S JUSTINE ST,30.00,12.00,10.00,11.00,14.00,14.00,20.00,21.00,21.00,21.00
4/20/2022,86XX S ESSEX AVE,29.80,6.14,4.47,3.70,5.47,7.72,6.97,6.00,7.03,9.17
4/14/2023,19XX W SUNNYSIDE AVE,29.70,8.53,12.60,15.20,14.30,12.30,10.20,8.53,7.72,7.03
7/30/2019,51XX S ALBANY ,29.70,39.60,36.80,32.40,30.20,29.70,29.30,28.70,28.50,26.90
2/14/2024,33XX W PIERCE AVE,29.60,4.84,3.40,2.65,2.31,2.70,2.78,2.45,2.46,2.52
1/24/2017,96XX S CRANDON AVE,29.50,4.30,1.57,1.64,1.97,1.90,2.80,4.05,3.77,3.70
7/5/2019,121XX S THROOP** ,29.20,33.00,33.40,37.80,46.80,48.00,48.20,49.40,52.20,57.20
1/20/2018,77XX W FARRAGUT AVE,29.00,33.60,53.60,66.50,52.70,41.10,40.90,33.90,32.40,30.80
2/3/2020,77XX S BISHOP ST,28.50,10.10,4.30,4.34,5.72,7.61,5.36,5.54,6.21,7.45
12/28/2019,62XX S MASON AVE,28.30,19.30,42.10,47.70,66.60,25.90,22.10,24.00,31.10,29.10
11/23/2021,25XX N LINDEN PL***,28.00,30.00,30.00,38.00,35.00,26.00,22.00,19.00,24.00,31.00
6/2/2021,1XX S HOMAN AVE,27.90,47.40,36.70,36.60,35.50,34.60,33.60,32.60,29.70,27.80
4/1/2022,23XX W IOWA ST,27.80,26.80,4.54,3.61,3.82,3.34,3.52,3.06,2.71,3.46
5/19/2023,11XX E 48TH ST,27.50,41.10,31.70,22.50,14.00,12.10,10.80,10.60,10.00,8.83
7/3/2023,55XX W ARDMORE AVE,27.40,31.00,30.50,29.60,42.60,70.70,59.90,51.00,48.30,45.20
11/14/2022,69XX S VERNON AVE,27.20,12.60,13.70,12.70,9.71,10.80,6.73,7.06,5.87,5.22
7/26/2022,112XX S AVENUE G ,27.00,27.00,30.00,28.00,29.00,33.00,33.00,33.00,31.00,36.00
2/8/2022,47XX N KARLOV AVE,27.00,6.40,7.50,7.50,6.50,7.30,10.00,14.00,15.00,15.00
4/8/2017,54XX S HARPER AVE**,26.80,20.40,19.00,17.20,15.60,13.60,11.00,9.74,9.17,8.27
11/30/2021,104XX S CORLISS AVE,26.70,62.50,26.30,12.70,11.20,9.90,10.90,10.90,10.20,10.00
12/12/2017,12XX W NORWOOD ST**,26.60,57.26,64.70,59.80,57.40,52.10,49.60,44.10,40.00,29.50
5/31/2018,30XX W BELDEN AVE,26.50,14.70,7.33,6.80,5.91,5.77,5.21,5.12,4.82,4.51
12/10/2016,93XX S DR MARTIN LUTHER KING JR DR,25.70,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
8/29/2017,24XX N BERNARD ST,25.60,26.10,20.60,15.30,14.20,13.50,12.80,6.65,11.70,11.30
4/25/2017,47XX S KIMBARK AVE***,25.50,32.30,47.30,50.90,50.30,46.20,43.60,43.80,45.60,42.80
3/21/2019,30XX W DIVERSEY ,25.20,32.00,32.20,40.00,94.80,88.00,99.60,98.80,101.00,99.60
6/20/2023,33XX W POTOMAC AVE,25.20,15.80,10.90,10.00,12.80,16.00,11.60,5.55,4.87,4.76
11/2/2020,49XX N HAMILTON AVE,25.20,21.30,43.30,37.00,33.70,28.40,22.90,19.90,18.80,18.40
7/22/2016,106XX S LEAVITT ST**,24.80,20.40,32.50,33.80,37.20,50.80,59.50,57.10,48.70,39.60
10/23/2019,121XX S THROOP** ,24.60,28.10,31.10,34.60,39.90,42.60,43.50,42.00,42.40,40.90
6/11/2018,36XX W 79TH PL,24.10,10.80,13.30,11.00,13.60,17.00,18.00,18.60,17.50,16.80
8/29/2022,22XX S KENNETH AVE,24.00,28.00,25.00,23.00,19.00,18.00,18.00,20.00,18.00,15.00
10/15/2021,24XX W POLK ST,24.00,7.24,5.56,5.22,4.76,4.53,4.39,4.12,3.74,3.40
1/23/2023,85XX S WALLACE ST,24.00,24.40,6.22,16.30,6.15,3.36,27.80,13.60,2.14,2.80
11/6/2023,89XX N KILBOURN AVE,23.90,21.90,23.20,23.70,22.10,22.90,30.30,40.80,45.60,46.00
8/22/2019,35XX N DAMEN AVE,23.80,11.40,10.50,26.30,29.60,33.70,34.20,30.80,23.70,17.90
6/10/2016,50XX S WASHTENAW AVE,23.80,13.20,9.86,4.95,5.78,5.06,4.64,4.15,4.65,3.57
3/31/2022,121XX S JUSTINE ST,23.70,33.70,34.50,26.80,25.40,19.40,18.32,20.30,19.00,14.40
1/27/2020,114XX S FORRESTVILLE AVE,23.50,50.90,70.30,24.60,22.20,22.00,17.50,14.60,12.30,14.20
8/16/2018,65XX N MINNETONKA AVE,23.50,30.40,27.60,24.80,26.10,27.50,25.60,24.70,35.60,32.20
2/3/2020,91XX S GREEN ST,23.50,24.70,20.40,17.10,15.00,13.50,12.90,11.50,10.40,9.55
7/28/2018,25XX N LINDEN PL***,23.40,24.30,43.30,46.70,35.40,29.70,27.90,38.50,47.30,48.40
8/16/2022,14XX N CALIFORNIA AVE,23.00,22.00,3.60,2.90,2.80,2.80,2.80,2.70,2.80,2.60
10/3/2022,6XX N HOMAN AVE,23.00,16.00,6.00,5.20,5.10,5.10,5.20,4.80,4.20,4.00
3/4/2022,74XX W PALATINE AVE,23.00,14.00,11.00,15.00,17.00,19.00,19.00,23.00,25.00,18.00
8/1/2019,20XX W MOFFAT ,22.90,33.10,31.80,26.60,27.60,25.50,23.80,20.10,14.20,10.10
11/14/2019,47XX W RACE AVE***,22.90,12.90,20.80,17.60,16.50,16.30,16.80,23.10,26.90,22.30
2/13/2024,12XX S MICHIGAN AVE,22.80,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
2/2/2018,17XX N RUTHERFORD AVE****,22.60,20.80,25.60,26.10,25.10,23.40,22.00,23.10,23.90,23.80
2/25/2020,17XX N RUTHERFORD AVE****,22.60,20.80,25.60,26.10,25.10,23.40,22.00,23.10,23.90,23.80
7/25/2023,17XX W LEMOYNE ST,22.60,1.92,1.14,1.14,1.13,1.13,1.09,1.08,1.24,4.70
2/28/2016,27XX N WILTON AVE**,22.30,25.70,29.80,33.50,38.00,39.90,38.30,35.20,31.30,26.20
6/7/2021,114XX S ADA ST,22.10,23.40,23.00,22.60,24.90,26.10,28.80,27.60,25.70,21.70
9/3/2021,111XX S AVENUE B ,22.00,21.00,23.00,21.00,29.00,33.00,35.00,37.00,36.00,37.00
5/2/2022,125XX S EDBROOKE AVE**,22.00,12.00,11.00,8.80,6.20,4.10,2.90,2.70,3.00,1.90
4/9/2024,36XX S WOOD ST,22.00,4.61,1.52,1.03,0.50,0.50,0.50,0.50,0.50,0.50
7/18/2019,41XX S ELLIS ,22.00,29.00,31.30,28.60,26.80,25.50,24.40,23.50,22.30,20.80
4/7/2023,70XX S MORGAN ST,22.00,10.00,17.80,22.20,18.60,21.00,25.90,23.40,22.40,23.20
9/20/2022,92XX S DUNBAR AVE,22.00,23.00,20.00,20.00,19.00,19.00,23.00,25.00,25.00,24.00
6/21/2019,93XX S WOODLAWN ,22.00,18.00,18.00,16.30,17.40,18.60,16.30,19.60,8.05,7.55
7/27/2021,113XX S HOMEWOOD AV,21.90,35.50,40.80,42.10,41.30,37.70,33.60,32.10,27.40,22.60
10/18/2019,74XX N OTTAWA AVE,21.90,17.40,12.00,8.81,7.29,6.81,8.20,7.43,9.24,8.06
2/5/2020,30XX W CHASE AVE,21.80,17.40,15.40,15.30,20.70,28.20,28.50,26.20,24.30,16.80
8/4/2017,47XX S KIMBARK AVE***,21.80,31.20,44.80,40.30,41.40,40.10,39.50,39.40,39.60,39.10
10/16/2018,54XX S HARPER AVE**,21.70,14.10,13.80,14.20,13.60,12.80,10.50,8.83,7.74,6.88
1/3/2019,19XX W CORNELIA ,21.50,29.70,32.10,33.80,36.60,39.80,27.30,26.40,24.20,21.10
9/26/2023,18XX N BISSELL ST,21.40,34.20,32.10,72.00,48.70,52.80,47.00,42.20,34.80,19.00
7/28/2021,30XX N CHRISTIANA AVE,21.40,19.40,27.40,26.70,25.60,22.60,23.00,22.50,21.80,21.60
9/12/2019,45XX N LEAVITT ST,21.40,43.00,44.50,30.20,35.50,32.00,29.30,28.30,26.90,26.30
8/8/2023,110XX S AVENUE C ,21.20,20.00,39.20,30.50,36.80,45.30,35.20,43.20,44.60,43.10
8/17/2022,22XX E 96TH ST,21.00,17.00,21.00,32.00,44.00,49.00,51.00,47.00,40.00,33.00
10/14/2022,28XX W ARMITAGE AVE**,21.00,5.00,5.80,5.40,6.20,6.80,6.60,8.10,9.10,8.70
10/14/2022,73XX S FRANCISCO AVE,21.00,5.00,5.80,5.40,6.20,6.80,6.60,8.10,9.10,8.70
12/12/2022,74XX S WENTWORTH AVE,21.00,17.00,21.00,27.00,28.00,27.00,26.00,24.00,23.00,21.00
12/12/2022,76XX S DR MARTIN LUTHER KING JR DR,21.00,7.10,4.90,4.20,3.50,3.80,3.40,4.70,5.80,5.50
7/27/2023,104XX S CORLISS AVE,20.70,64.40,71.60,44.30,33.90,31.80,32.10,25.90,24.30,32.70
8/11/2018,29XX N KENNETH AVE,20.60,16.30,15.60,14.20,13.60,14.20,16.50,31.00,44.50,
10/21/2019,16XX W 102ND ST,20.50,23.60,20.90,22.70,25.20,38.30,39.20,39.50,37.40,32.00
9/16/2019,19XX N HUMBOLDT BLVD,20.50,8.26,7.45,7.34,8.01,7.53,6.95,6.52,6.47,5.94
8/5/2021,73XX N OTTAWA AVE,20.50,27.10,29.40,37.50,40.40,42.50,43.80,44.60,41.80,40.70
9/13/2023,58XX S MERRIMAC AVE,20.30,6.33,3.55,2.93,2.67,1.47,0.50,0.50,1.06,1.87
11/20/2023,88XX S JEFFERY BLVD**,20.30,7.21,6.90,8.67,9.70,10.10,16.50,17.60,17.30,16.20
4/11/2022,26XX N DAYTON ST,20.20,13.80,14.60,15.30,14.00,12.30,11.50,10.40,10.30,11.20
2/20/2024,34XX N NEVA AVE,20.10,34.70,35.40,32.80,29.90,26.50,23.70,20.80,18.00,13.70
5/9/2022,24XX W TAYLOR ST,20.00,9.50,12.00,9.00,13.00,14.00,11.00,15.00,21.00,24.00
7/23/2021,29XX S HAYNES CT,20.00,18.00,24.00,30.00,29.00,26.00,24.00,23.00,21.00,19.00
9/1/2022,37XX S LOWE AVE,20.00,24.00,14.00,11.00,8.80,9.10,12.00,13.00,12.00,8.60
10/15/2021,3XX E 89TH PL**,20.00,17.10,17.20,15.20,11.40,13.70,16.90,17.20,17.90,19.60
7/25/2022,43XX S FRANCISCO AVE,20.00,16.00,8.20,7.60,6.20,5.70,5.60,5.60,5.20,5.10
6/3/2019,45XX W ALTGELD ST,20.00,31.90,38.30,38.80,34.70,30.00,26.40,24.90,23.50,21.80
3/22/2022,50XX W STRONG ST,20.00,23.00,27.00,36.00,38.00,33.00,28.00,28.00,26.00,26.00
3/23/2022,59XX N RICHMOND ST,20.00,6.20,5.00,4.40,4.80,8.60,15.00,18.00,19.00,16.00
5/19/2021,70XX S EGGLESTON AVE,20.00,25.00,37.00,26.00,31.00,38.00,35.00,37.00,37.00,36.00
10/10/2018,29XX S BONAPARTE ST,19.80,14.90,13.70,9.66,8.59,8.27,7.04,8.70,8.87,7.71
5/13/2016,54XX S HARPER AVE***,19.80,29.30,30.80,27.30,16.20,13.10,10.60,12.10,11.20,9.43
2/10/2020,114XX S CALUMET AVE,19.50,2.23,1.98,1.90,1.75,1.55,1.52,1.36,1.33,1.33
11/29/2021,38XX W 61ST PL,19.50,23.10,31.80,30.40,28.00,27.00,27.80,26.50,24.40,24.80
3/28/2024,79XX S KILBOURN AVE**,19.50,6.52,5.66,4.99,1.91,0.50,0.50,0.50,0.50,0.50
10/3/2018,38XX N SEELEY AVE,19.20,29.50,32.10,32.70,31.10,34.70,26.60,22.40,20.80,18.60
2/27/2019,35XX N KOLMAR AVE,19.10,3.96,3.88,3.88,4.07,10.00,14.10,13.20,13.90,16.80
7/14/2023,58XX N LUNA AVE,19.10,35.80,40.80,45.40,54.00,71.00,72.70,64.40,78.30,75.10
9/16/2022,117XX S THROOP ST,19.00,24.00,30.00,34.00,32.00,24.00,25.00,22.00,18.00,17.00
8/9/2019,14XX W FLOURNOY ,19.00,50.20,77.50,31.80,27.00,24.50,29.10,23.60,21.10,18.80
7/21/2022,21XX W 18TH ST,19.00,62.00,17.00,13.00,12.00,7.80,7.70,7.50,7.50,7.30
9/21/2022,23XX W WINNEMAC AVE,19.00,25.00,38.00,34.00,32.00,33.00,45.00,53.00,50.00,38.00
