Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw
9/21/2022,47XX N LAPORTE AVE,8.20,8.70,8.60,7.80,8.00,11.00,11.00,12.00,11.00,10.00
8/20/2019,17XX W THORNDALE AVE,8.19,9.02,9.89,10.30,9.40,11.30,10.20,15.30,19.80,20.90
8/13/2019,58XX W PATTERSON AVE,8.18,8.05,9.61,9.54,9.36,16.60,21.60,22.80,22.90,21.60
8/16/2023,49XX W WAVELAND AVE,8.16,7.68,7.91,7.23,8.76,10.50,12.60,13.90,16.40,15.00
9/14/2017,57XX N OKETO AVE**,8.16,12.40,12.70,11.00,10.60,11.60,19.70,24.40,22.70,21.00
3/7/2017,8XX W LILL AVE****,8.16,7.72,7.80,8.23,8.70,8.74,8.62,9.12,9.95,9.61
3/11/2019,93XX S LONGWOOD ,8.16,7.79,12.60,6.94,4.76,5.56,5.94,8.39,10.30,9.53
10/1/2018,14XX W OLIVE AVE,8.15,8.04,7.23,7.65,9.93,11.50,12.40,12.40,11.90,11.20
8/12/2021,52XX W EDDY ST,8.15,6.27,9.77,16.40,18.00,20.80,24.40,23.70,21.10,26.90
7/20/2018,35XX N KOLMAR AVE,8.14,9.82,10.40,10.90,10.80,17.60,20.60,22.10,21.30,20.40
6/24/2021,109XX S MORGAN ST,8.12,9.84,10.00,9.57,6.46,6.97,6.92,5.50,6.02,7.20
6/5/2023,20XX W SUPERIOR ST,8.12,7.66,8.70,18.20,16.20,14.10,12.60,31.50,13.70,9.47
5/21/2024,29XX N FAIRFIELD AVE,8.12,19.90,22.50,24.20,25.00,23.00,22.00,20.70,20.60,16.70
1/21/2020,99XX S MERRILL AVE,8.12,11.20,14.40,19.30,24.80,6.56,7.12,20.00,19.20,16.90
4/1/2021,34XX W 82ND PL,8.11,11.90,20.20,24.70,31.80,41.20,48.60,48.20,43.50,42.30
6/4/2021,112XX S PARNELL AVE,8.10,6.70,6.40,7.20,6.20,11.00,8.60,6.20,6.00,5.60
10/5/2022,128XX S PARNELL AVE,8.10,8.60,6.70,7.20,9.70,15.00,20.00,19.00,19.00,18.00
9/16/2019,33XX N PACIFIC ,8.10,8.90,10.00,11.00,17.00,16.00,18.00,18.00,20.00,25.00
2/23/2022,36XX W 117TH ST,8.10,7.00,8.30,7.10,14.00,17.00,14.00,13.00,13.00,12.00
10/24/2022,58XX N OCTAVIA AVE,8.10,2.90,2.70,2.70,2.70,2.70,2.80,11.00,8.60,9.90
11/18/2021,93XX S ST LAWRENCE AVE,8.10,9.50,14.00,10.00,11.00,15.00,16.00,15.00,15.00,14.00
10/26/2022,128XX S LOWE AVE,8.08,11.30,12.00,14.80,17.20,22.40,25.20,25.70,25.80,20.30
10/13/2023,72XX W GREENLEAF AVE,8.08,9.56,9.49,8.67,8.56,9.43,13.60,14.60,14.70,15.20
11/5/2019,94XX S INDIANA ,8.08,6.92,6.24,6.27,7.65,10.60,9.74,9.45,9.01,8.73
1/29/2024,37XX N NEVA AVE,8.05,8.10,8.61,9.45,9.39,14.60,19.20,19.80,21.90,17.80
11/28/2023,16XX W CULLOM AVE,8.04,17.60,34.00,36.60,32.00,31.40,25.20,13.00,12.10,11.30
8/15/2023,52XX W WARNER AVE,8.04,7.03,5.57,5.82,5.71,6.13,6.92,7.51,6.76,7.66
10/1/2019,54XX S HARDING AVE,8.04,13.00,9.47,14.40,23.20,17.90,17.90,21.90,24.20,21.10
7/8/2019,98XX S CALUMET ,8.04,9.40,9.29,10.10,13.30,17.70,18.30,21.80,21.80,18.60
9/10/2021,32XX N AVERS AVE,8.02,8.28,7.06,7.02,7.67,8.42,12.30,15.80,70.00,21.00
3/16/2016,11XX W GEORGE ST,8.01,8.50,10.80,9.00,9.42,10.30,10.50,9.28,6.19,5.10
9/23/2021,7XX W JUNIOR TR,8.01,8.68,4.74,4.16,11.40,4.11,3.12,3.21,4.11,1.95
5/17/2022,30XX N KENMORE AVE,8.00,11.00,12.00,13.00,14.00,15.00,17.00,19.00,21.00,23.00
10/3/2019,38XX W FLOURNOY ST,8.00,36.10,36.70,36.80,39.70,57.20,39.90,35.00,33.40,34.70
6/16/2022,67XX N LIGHTFOOT AVE,8.00,18.00,27.00,18.00,11.00,15.00,16.00,16.00,16.00,15.00
9/22/2022,71XX N OVERHILL AVE,8.00,11.00,9.30,8.30,9.40,13.00,16.00,15.00,14.00,15.00
12/14/2021,74XX N OKETO AVE,8.00,7.90,9.40,10.00,11.00,11.00,11.00,14.00,16.00,18.00
11/3/2020,83XX S HOYNE AVE,8.00,11.10,10.20,5.56,5.41,5.15,4.57,4.05,4.64,5.24
