Date,Address,Draw1,Draw2,Draw3,Max,PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Type of Residence,Apartments,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Construction Quality,Renovation,Site Desireability,Garage 1 Size,Garage 1 Material,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Prior Tax Year Market Value Estimate (Land),Prior Tax Year Market Value Estimate (Building),Longitude,Latitude,Total Building Square Feet,Multi Property Indicator,Age,Use,Multi-Family Indicator,"Condition, Desirability and Utility",Near Major Road,Location Factor,Garage indicator,Neigborhood Code (mapping),Town and Neighborhood,property_city,property_zip,longitude,latitude,township,township_name,nbhd,tract_geoid,tract_pop,tract_white_perc,commissioner_dist,reps_dist,senate_dist,ward,school_elem_district
10/29/2021,14XX W 103RD ST,530,5.7,6.6,530,2.50831E+13,278,274,7500,72,2,0,2,1,7,4,1,3,2,,2,3,2,3,0,2571,2,2,0,56250,273040,-87.65946692,41.70703183,,0,19,1,,,1,0.49062729,1,274,72274,CHICAGO,60643-2963,-87.65946692,41.70703183,72,Lake,274,17031720200,4047,0.390412651,11th,35,18,19,BARNARD
10/18/2021,26XX W EASTWOOD AVE ,530,4.9,3.6,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,120XX S PRINCETON AVE,520,71,40,520,2.52821E+13,203,330,4920,72,1,0,1,1,6,2,1,1,2,,2,2,1,3,0,1056,2,2,0,27060,75640,-87.62943554,41.67491247,,0,94,1,,,0,0.141157864,1,330,72330,CHICAGO,60628-6513,-87.62943554,41.67491247,72,Lake,330,17031530501,4644,0.019164513,5th,28,14,34,METCALFE
3/31/2019,69XX N TONTY ,2,460,240,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/2019,72XX S HERMITAGE AVE,440,13,7.1,440,2.03021E+13,203,121,3125,72,1,0,1,1,6,3,1,3,2,,2,0,0,1,0,1184,2,2,0,20310,49910,-87.66703922,41.76211121,,0,94,1,,,0,0.478809683,0,121,72121,CHICAGO,60636-3847,-87.66703922,41.76211121,72,Lake,121,17031672000,4064,0.007135827,2nd,31,16,17,RANDOLPH
7/7/2019,57XX S NATOMA AVE,400,370,33,400,1.91822E+13,203,380,4824,72,5,0,2,1,6,4,1,3,2,,2,3,1,3,0,1496,2,2,0,48240,223210,-87.78813274,41.78822486,,0,67,1,,,0,1.011816347,1,380,72380,CHICAGO,60638-3329,-87.78813274,41.78822486,72,Lake,380,17031561000,6064,0.534630607,11th,22,11,13,BYRNE
9/10/2019,96XX S MORGAN ST,400,210,120,400,2.50821E+13,234,282,6250,72,4,0,2,1,8,3,3,1,2,,2,3,2,3,0,1275,2,2,0,46870,84960,-87.64764022,41.71829796,,0,53,1,,,0,0.423660996,1,282,72282,CHICAGO,60643-1538,-87.64764022,41.71829796,72,Lake,282,17031730400,4067,0.015490534,4th,27,14,21,WACKER
5/28/2018,67XX N JEAN AVE,400,3.8,3.4,400,1.03221E+13,205,461,7230,71,2,0,1,3,5,3,1,3,1,,2,3,2,3,0,1844,2,2,0,97600,504440,-87.7765443,42.00427644,,0,84,1,,,0,1.107332066,1,461,71461,CHICAGO,60646-1353,-87.7765443,42.00427644,71,Jefferson,461,17031120100,4102,0.870794734,9th,15,8,41,WILDWOOD
4/14/2019,33XX N OSCEOLA AVE,370,8.5,2.5,370,1.22442E+13,203,371,3990,71,1,0,2,1,5,3,1,1,2,,2,3,2,3,0,1344,2,2,0,49870,215020,-87.81330301,41.94030762,,0,30,1,,,0,1.20218083,1,371,71371,CHICAGO,60634-3342,-87.81330301,41.94030762,71,Jefferson,371,17031170800,4189,0.62998329,1st,19,10,29,DEVER
11/13/2019,76XX S HONORE ST,360,2.8,1.6,360,2.03041E+13,203,212,3750,72,1,0,2,1,6,3,1,1,2,,2,0,0,3,0,1276,2,2,0,30000,96930,-87.66996148,41.75420703,,0,97,1,,,0,0.510426268,0,212,72212,CHICAGO,60620-5216,-87.66996148,41.75420703,72,Lake,212,17031710400,5514,0.007616975,3rd,31,16,17,BARTON
11/29/2019,42XX N AVERS AVE,350,3.4,2.9,350,1.31431E+13,203,82,4687,71,5,0,1,1,8,3,1,3,2,,2,3,1,1,0,1577,2,2,0,103110,242740,-87.72372159,41.95824742,,0,117,1,,,0,1.367207849,1,82,7182,CHICAGO,60618-1801,-87.72372159,41.95824742,71,Jefferson,82,17031160400,4693,0.470274877,12th,40,20,39,HAUGAN
11/6/2018,58XX N MASON AVE,350,5.6,2.2,350,1.30541E+13,203,10,2940,71,5,0,1,1,6,4,1,3,2,,2,0,0,3,0,1254,2,2,0,39690,189150,-87.77638596,41.9867316,,0,95,1,,,0,1.149792697,0,10,7110,CHICAGO,60646-5407,-87.77638596,41.9867316,71,Jefferson,10,17031110100,5367,0.662567542,10th,19,10,45,HITCH
8/26/2019,110XX S AVENUE C,350,21,20,350,2.61741E+13,203,240,4375,70,5,0,2,1,6,3,1,3,2,,2,3,1,3,0,1212,2,2,0,28430,113590,-87.52667264,41.69452535,,0,74,1,,,0,0.24515799,1,240,70240,CHICAGO,60617-6830,-87.52667264,41.69452535,70,Hyde Park,240,17031520500,5109,0.281659816,4th,25,13,10,"WASHINGTON, G"
6/7/2021,88XX S LAFLIN ST,350,3.1,1.5,350,2.50511E+13,203,281,4123,72,1,0,2,1,6,3,1,3,2,,2,1,1,1,0,1056,2,2,0,30920,96010,-87.66090705,41.73265669,,0,93,1,,,0,0.523517371,1,281,72281,CHICAGO,60620-4921,-87.66090705,41.73265669,72,Lake,281,17031711400,2591,0.000771903,4th,35,18,21,FORT DEARBORN
10/1/2019,85XX S MARSHFIELD AVE,330,7.6,6,330,2.03142E+13,203,212,6250,72,1,0,1,1,5,3,2,3,2,,2,1,1,3,0,1616,2,2,0,50000,68380,-87.66401128,41.73887632,,0,94,1,,,0,0.531978259,1,212,72212,CHICAGO,60620-4717,-87.66401128,41.73887632,72,Lake,212,17031711200,5007,0.000599161,4th,36,18,21,FOSTER PARK
12/21/2021,89XX S CRANDON AVE ,330,1.2,0.8,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2019,48XX W BALMORAL ,300,4.3,1.9,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2019,61XX N NEWBURG ,300,6.3,4.7,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2019,80XX S MERRILL AVE,280,3,1.9,280,2.03621E+13,203,80,4375,70,1,0,2,1,6,3,1,3,2,,2,3,1,1,0,1550,2,2,0,39370,100130,-87.57262851,41.7489211,,0,95,1,,,0,0.425749588,1,80,7080,CHICAGO,60617-1154,-87.57262851,41.7489211,70,Hyde Park,80,17031460500,5647,0.006020896,4th,33,17,8,MANN
2/22/2016,36XX W 115TH ST*,272,1.21,1.03,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/2019,35XX W CONGRESS PKWY,9.3,270,6,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/20/2016,44XX W LELAND AVE,250,7.7,6.3,250,1.31511E+13,203,71,3510,71,1,0,2,1,5,2,1,3,2,,2,3,1,1,0,1018,2,2,0,47380,230080,-87.7397172,41.96654106,,0,97,1,,,0,1.150687749,1,71,7171,CHICAGO,60630-4012,-87.7397172,41.96654106,71,Jefferson,71,17031160100,2577,0.522312767,12th,15,8,39,PALMER
6/6/2019,58XX S AUSTIN ,250,1.6,1.7,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/2019,103XX S PEORIA ,240,2.1,1.6,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/2016,62XX S KEDZIE AVE*,233,3.59,2.74,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/24/2019,24XX W HOMER ST,230,21,13,230,1.33641E+13,211,30,2976,77,2,3,1,1,15,6,1,3,2,,2,1,1,3,0,2970,2,2,0,75880,425300,-87.68921797,41.91639162,,0,128,2,211,,0,2.161889016,1,30,7730,CHICAGO,60647-4318,-87.68921797,41.91639162,77,West Chicago,30,17031832400,3038,0.588874259,8th,4,2,1,CHASE
